date,action,coin,price,sentiment,cash,btc_holdings,eth_holdings,portfolio_value
2024-12-19,sell,btc,97490.953125,75.0,10000.0,0.0,0.0,10000.0
2024-12-19,sell,eth,3417.927978515625,75.0,10000.0,0.0,0.0,10000.0
2024-12-18,sell,btc,100041.5390625,81.0,10000.0,0.0,0.0,10000.0
2024-12-18,sell,eth,3618.791259765625,81.0,10000.0,0.0,0.0,10000.0
2024-12-17,sell,btc,106140.6015625,87.0,10000.0,0.0,0.0,10000.0
2024-12-17,sell,eth,3886.76611328125,87.0,10000.0,0.0,0.0,10000.0
2024-12-16,sell,btc,106029.71875,83.0,10000.0,0.0,0.0,10000.0
2024-12-16,sell,eth,3987.48095703125,83.0,10000.0,0.0,0.0,10000.0
2024-12-15,sell,btc,104298.6953125,80.0,10000.0,0.0,0.0,10000.0
2024-12-15,sell,eth,3951.941162109375,80.0,10000.0,0.0,0.0,10000.0
2024-12-14,sell,btc,101372.96875,83.0,10000.0,0.0,0.0,10000.0
2024-12-14,sell,eth,3868.4052734375,83.0,10000.0,0.0,0.0,10000.0
2024-12-13,sell,btc,101459.2578125,76.0,10000.0,0.0,0.0,10000.0
2024-12-13,sell,eth,3911.205322265625,76.0,10000.0,0.0,0.0,10000.0
2024-12-12,sell,btc,100043.0,83.0,10000.0,0.0,0.0,10000.0
2024-12-12,sell,eth,3883.1015625,83.0,10000.0,0.0,0.0,10000.0
2024-12-10,sell,btc,96675.4296875,78.0,10000.0,0.0,0.0,10000.0
2024-12-10,sell,eth,3631.833740234375,78.0,10000.0,0.0,0.0,10000.0
2024-12-09,sell,btc,97432.71875,78.0,10000.0,0.0,0.0,10000.0
2024-12-09,sell,eth,3718.6904296875,78.0,10000.0,0.0,0.0,10000.0
2024-12-08,sell,btc,101236.015625,79.0,10000.0,0.0,0.0,10000.0
2024-12-08,sell,eth,4005.70458984375,79.0,10000.0,0.0,0.0,10000.0
2024-12-07,sell,btc,99923.3359375,75.0,10000.0,0.0,0.0,10000.0
2024-12-07,sell,eth,4002.692626953125,75.0,10000.0,0.0,0.0,10000.0
2024-12-05,sell,btc,96593.5703125,84.0,10000.0,0.0,0.0,10000.0
2024-12-05,sell,eth,3811.00830078125,84.0,10000.0,0.0,0.0,10000.0
2024-12-04,sell,btc,98768.53125,78.0,10000.0,0.0,0.0,10000.0
2024-12-04,sell,eth,3841.3310546875,78.0,10000.0,0.0,0.0,10000.0
2024-12-03,sell,btc,96002.1640625,76.0,10000.0,0.0,0.0,10000.0
2024-12-03,sell,eth,3620.711669921875,76.0,10000.0,0.0,0.0,10000.0
2024-12-02,sell,btc,95865.3046875,80.0,10000.0,0.0,0.0,10000.0
2024-12-02,sell,eth,3644.198486328125,80.0,10000.0,0.0,0.0,10000.0
2024-12-01,sell,btc,97279.7890625,81.0,10000.0,0.0,0.0,10000.0
2024-12-01,sell,eth,3711.1650390625,81.0,10000.0,0.0,0.0,10000.0
2024-11-30,sell,btc,96449.0546875,84.0,10000.0,0.0,0.0,10000.0
2024-11-30,sell,eth,3705.705322265625,84.0,10000.0,0.0,0.0,10000.0
2024-11-29,sell,btc,97461.5234375,78.0,10000.0,0.0,0.0,10000.0
2024-11-29,sell,eth,3593.494384765625,78.0,10000.0,0.0,0.0,10000.0
2024-11-28,sell,btc,95652.46875,77.0,10000.0,0.0,0.0,10000.0
2024-11-28,sell,eth,3579.8115234375,77.0,10000.0,0.0,0.0,10000.0
2024-11-27,sell,btc,95962.53125,75.0,10000.0,0.0,0.0,10000.0
2024-11-27,sell,eth,3657.249267578125,75.0,10000.0,0.0,0.0,10000.0
2024-11-26,sell,btc,91985.3203125,79.0,10000.0,0.0,0.0,10000.0
2024-11-26,sell,eth,3326.517333984375,79.0,10000.0,0.0,0.0,10000.0
2024-11-25,sell,btc,93102.296875,82.0,10000.0,0.0,0.0,10000.0
2024-11-25,sell,eth,3413.5439453125,82.0,10000.0,0.0,0.0,10000.0
2024-11-24,sell,btc,98013.8203125,80.0,10000.0,0.0,0.0,10000.0
2024-11-24,sell,eth,3363.659912109375,80.0,10000.0,0.0,0.0,10000.0
2024-11-23,sell,btc,97777.28125,93.0,10000.0,0.0,0.0,10000.0
2024-11-23,sell,eth,3396.223388671875,93.0,10000.0,0.0,0.0,10000.0
2024-11-22,sell,btc,98997.6640625,94.0,10000.0,0.0,0.0,10000.0
2024-11-22,sell,eth,3331.600830078125,94.0,10000.0,0.0,0.0,10000.0
2024-11-21,sell,btc,98504.7265625,82.0,10000.0,0.0,0.0,10000.0
2024-11-21,sell,eth,3361.053955078125,82.0,10000.0,0.0,0.0,10000.0
2024-11-20,sell,btc,94339.4921875,83.0,10000.0,0.0,0.0,10000.0
2024-11-20,sell,eth,3072.18798828125,83.0,10000.0,0.0,0.0,10000.0
2024-11-19,sell,btc,92343.7890625,90.0,10000.0,0.0,0.0,10000.0
2024-11-19,sell,eth,3111.384033203125,90.0,10000.0,0.0,0.0,10000.0
2024-11-18,sell,btc,90542.640625,83.0,10000.0,0.0,0.0,10000.0
2024-11-18,sell,eth,3207.8564453125,83.0,10000.0,0.0,0.0,10000.0
2024-11-17,sell,btc,89845.8515625,90.0,10000.0,0.0,0.0,10000.0
2024-11-17,sell,eth,3075.66162109375,90.0,10000.0,0.0,0.0,10000.0
2024-11-16,sell,btc,90558.4765625,86.0,10000.0,0.0,0.0,10000.0
2024-11-16,sell,eth,3133.27392578125,86.0,10000.0,0.0,0.0,10000.0
2024-11-15,sell,btc,91066.0078125,80.0,10000.0,0.0,0.0,10000.0
2024-11-15,sell,eth,3103.04052734375,80.0,10000.0,0.0,0.0,10000.0
2024-11-14,sell,btc,87250.4296875,88.0,10000.0,0.0,0.0,10000.0
2024-11-14,sell,eth,3058.94873046875,88.0,10000.0,0.0,0.0,10000.0
2024-11-13,sell,btc,90584.1640625,84.0,10000.0,0.0,0.0,10000.0
2024-11-13,sell,eth,3192.595947265625,84.0,10000.0,0.0,0.0,10000.0
2024-11-12,sell,btc,87955.8125,80.0,10000.0,0.0,0.0,10000.0
2024-11-12,sell,eth,3246.25732421875,80.0,10000.0,0.0,0.0,10000.0
2024-11-11,sell,btc,88701.484375,76.0,10000.0,0.0,0.0,10000.0
2024-11-11,sell,eth,3374.81298828125,76.0,10000.0,0.0,0.0,10000.0
2024-11-10,sell,btc,80474.1875,78.0,10000.0,0.0,0.0,10000.0
2024-11-10,sell,eth,3191.331298828125,78.0,10000.0,0.0,0.0,10000.0
2024-11-09,sell,btc,76778.8671875,75.0,10000.0,0.0,0.0,10000.0
2024-11-09,sell,eth,3131.14453125,75.0,10000.0,0.0,0.0,10000.0
2024-11-08,sell,btc,76545.4765625,75.0,10000.0,0.0,0.0,10000.0
2024-11-08,sell,eth,2962.296630859375,75.0,10000.0,0.0,0.0,10000.0
2024-11-07,sell,btc,75904.859375,77.0,10000.0,0.0,0.0,10000.0
2024-11-07,sell,eth,2895.58544921875,77.0,10000.0,0.0,0.0,10000.0
2024-11-01,sell,btc,69482.46875,75.0,10000.0,0.0,0.0,10000.0
2024-11-01,sell,eth,2511.885498046875,75.0,10000.0,0.0,0.0,10000.0
2024-10-31,sell,btc,70215.1875,77.0,10000.0,0.0,0.0,10000.0
2024-10-31,sell,eth,2515.79931640625,77.0,10000.0,0.0,0.0,10000.0
2024-10-30,sell,btc,72339.5390625,77.0,10000.0,0.0,0.0,10000.0
2024-10-30,sell,eth,2657.37255859375,77.0,10000.0,0.0,0.0,10000.0
2024-09-07,buy,btc,54139.6875,23.0,5000.0,0.09235369155021443,0.0,10000.0
2024-09-07,buy,eth,2274.107177734375,23.0,2500.0,0.09235369155021443,1.099332531235698,5210.022192844609
2024-09-06,buy,btc,53948.75390625,22.0,1250.0,0.11552382819826751,1.099332531235698,66789.9867665458
2024-09-06,buy,eth,2223.87646484375,22.0,625.0,0.11552382819826751,1.3803733218912675,3951.6904659109555
2024-08-17,buy,btc,59478.97265625,25.0,312.5,0.12077778579108014,1.3803733218912675,89599.42568673776
2024-08-17,buy,eth,2614.546875,25.0,156.25,0.12077778579108014,1.4401351113982925,4237.3299374936705
2024-08-12,buy,btc,59354.515625,25.0,78.125,0.12209402936879866,1.4401351113982925,92803.47894549064
2024-08-12,buy,eth,2724.431884765625,25.0,39.0625,0.12209402936879866,1.454472962976975,4334.311882415869
2024-08-08,buy,btc,61710.13671875,20.0,19.53125,0.12241052923476098,1.454472962976975,97329.22714392618
2024-08-08,buy,eth,2683.352783203125,20.0,9.765625,0.12241052923476098,1.458112299951647,4250.865957613425
2024-08-06,buy,btc,56034.31640625,17.0,4.8828125,0.12249766891653383,1.458112299951647,88573.2819229326
2024-08-06,buy,eth,2458.723876953125,17.0,2.44140625,0.12249766891653383,1.459105256612167,3891.166283106332
2024-07-13,buy,btc,59231.953125,25.0,1.220703125,0.12251827777814647,1.459105256612167,93683.87175352886
2024-07-13,buy,eth,3177.19873046875,25.0,0.6103515625,0.12251827777814647,1.4592973602903685,5026.352988669401
2024-07-12,buy,btc,57899.46484375,25.0,0.30517578125,0.12252354856574484,1.4592973602903685,91586.88927720446
2024-07-12,buy,eth,3134.15869140625,25.0,0.152587890625,0.12252354856574484,1.4593460457289977,4957.9829255207715
2024-06-09,sell,btc,69647.9921875,75.0,8533.671741182397,0.0,1.4593460457289977,110174.19373297464
2024-06-09,sell,eth,3705.90380859375,75.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-06-07,sell,btc,69342.5859375,77.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-06-07,sell,eth,3678.629150390625,77.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-06-06,sell,btc,70757.1640625,78.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-06-06,sell,eth,3811.60595703125,78.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-06-05,sell,btc,71082.8203125,75.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-06-05,sell,eth,3864.260986328125,75.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-05-26,sell,btc,68518.09375,75.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-05-26,sell,eth,3825.8974609375,75.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-05-25,sell,btc,69265.9453125,76.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-05-25,sell,eth,3749.236572265625,76.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-05-23,sell,btc,67929.5625,76.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-05-23,sell,eth,3776.92724609375,76.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-05-22,sell,btc,69122.3359375,76.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-05-22,sell,eth,3737.2177734375,76.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-05-21,sell,btc,70136.53125,76.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-05-21,sell,eth,3789.312744140625,76.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-04-12,sell,btc,67195.8671875,79.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-04-12,sell,eth,3243.034912109375,79.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-04-11,sell,btc,70060.609375,76.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-04-11,sell,eth,3505.247802734375,76.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-04-10,sell,btc,70587.8828125,78.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-04-10,sell,eth,3543.737060546875,78.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-04-09,sell,btc,69139.015625,80.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-04-09,sell,eth,3505.163330078125,80.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-04-08,sell,btc,71631.359375,76.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-04-08,sell,eth,3695.292724609375,76.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-04-07,sell,btc,69362.5546875,78.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-04-07,sell,eth,3453.49462890625,78.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-04-06,sell,btc,68896.109375,75.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-04-06,sell,eth,3354.183837890625,75.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-04-05,sell,btc,67837.640625,79.0,13941.86781010572,0.0,0.0,13941.86781010572
